FECHA,HORA,ESTADO,TIPO_TRAFICO,NOMBRE
2025-09-01,17:00,3,trafico 10km/hora,SAN JUAN - TREBOL
2025-09-01,17:00,3,trafico 10km/hora,JOSE MILLA - CALLE MARTI
2025-09-01,17:00,2,moderado,NARANJO - PERIFERICO
2025-09-01,17:00,3,trafico 10km/hora,KM 4.5 - JOSE MILLA
2025-09-01,17:00,3,trafico 10km/hora,PROCERES - OBELISCO
2025-09-01,17:00,3,trafico 10km/hora,20 CALLE - 18 AVENIDA
2025-09-01,17:00,2,moderado,PETAPA - TREBOL
2025-09-01,17:00,2,moderado,ATANASIO 53 - ATANASIO 8
2025-09-01,17:00,2,moderado,AG. BATRES - TREBOL
2025-09-01,17:00,2,moderado,MARISCAL ZAVALA  - LA PAZ
2025-09-01,17:00,3,trafico 10km/hora,TREBOL V.H - COLUMPIO V.H
2025-09-01,17:00,3,trafico 10km/hora,BLVD. LOURDES - ZONA 4
2025-09-01,17:00,2,moderado,LOS OLIVOS - ATLANTIDA
2025-09-01,17:00,2,moderado,HINCAPIE - LIBERACIÓN
2025-09-01,17:30,3,trafico 10km/hora,ROOSEVELTH - TREBOL
2025-09-01,17:30,3,trafico 10km/hora,BLVD. LOURDES - ZONA 4
2025-09-01,17:30,3,trafico 10km/hora,TREBOL V.H - COLUMPIO V.H
2025-09-01,17:30,3,trafico 10km/hora,SAN JUAN - TREBOL
2025-09-01,17:30,3,trafico 10km/hora,20 CALLE - 18 AVENIDA
2025-09-01,17:30,2,moderado,ATANASIO 53 - ATANASIO 8
2025-09-01,17:30,2,moderado,NARANJO - PERIFERICO
2025-09-01,17:30,3,trafico 10km/hora,KM 4.5 - JOSE MILLA
2025-09-01,17:30,2,moderado,MARISCAL ZAVALA  - LA PAZ
2025-09-01,17:30,2,moderado,LOS OLIVOS - ATLANTIDA
2025-09-01,17:30,2,moderado,KM 9 - KM 4.5 ATLANTICO
2025-09-01,17:30,3,trafico 10km/hora,PROCERES - OBELISCO
2025-09-01,17:30,2,moderado,HINCAPIE - LIBERACIÓN
2025-09-01,17:30,3,trafico 10km/hora,JOSE MILLA - CALLE MARTI
2025-09-01,17:30,2,moderado,AG. BATRES - TREBOL
2025-09-01,17:30,2,moderado,PETAPA - TREBOL
2025-09-01,18:00,4,congestion 5km/hora ,ATANASIO 53 - ATANASIO 8
2025-09-01,18:00,3,trafico 10km/hora,LOS OLIVOS - ATLANTIDA
2025-09-01,18:00,2,moderado,KM 9 - KM 4.5 ATLANTICO
2025-09-01,18:00,4,congestion 5km/hora ,PROCERES - OBELISCO
2025-09-01,18:00,3,trafico 10km/hora,20 CALLE - 18 AVENIDA
2025-09-01,18:00,3,trafico 10km/hora,MARISCAL ZAVALA  - LA PAZ
2025-09-01,18:00,3,trafico 10km/hora,HINCAPIE - LIBERACIÓN
